name,tempo,energy,centroid,danceability
"Hidden Tunes - Pop Hits 2026 Playlist Hyperparty vibes",120.56,0.009429,2120.16,1.0478
"Pop Hits 2015 - I Know You",73.58,0.009140,1122.18,0.8172
"Pop Hits 2015 - House Every Weekend",122.13,0.110001,1887.22,1.4440
"Pop Hits 2015 - Can't Stop Playing (Makes Me High)",125.00,0.075407,1424.36,1.7450
"Pop Hits 2015 - Bitch I'm Madonna",150.31,0.078218,560.38,1.3815
"Pop Hits 2015 - Talking Body",120.10,0.054140,1557.92,1.2584
"Pop Hits 2015 - Take Me Away",123.87,0.100597,2018.22,1.8566
"Pop Hits 2015 - Want to Want Me",113.00,0.070374,1528.87,1.3782
"The Knife - Rock Classics",70.06,0.030223,429.89,2.1178
"Rock Classics - C'est La Vie",148.12,0.103864,1259.50,1.4491
"Rock Classics - Paradise City",93.87,0.030800,1662.86,1.6346
"Rock Classics - Any Way You Want It",138.09,0.035474,1533.74,1.6059
"Rock Classics - Basket Case",91.13,0.018926,2262.82,1.6848
"Rock Classics - Would?",101.85,0.026832,1678.22,1.3635
"Rock Classics - Gimme Shelter",117.13,0.064160,1080.99,1.6063
"Rock Classics - 18 and Life",87.96,0.037448,1388.85,1.7008
"BTS - Hip Hop Phile",143.88,0.108565,2090.06,1.7305
"Portugal. The Man - Hip Hop Kids",94.92,0.086609,1348.63,1.2019
"Miss - Hip Hop",118.23,0.037575,1675.81,1.7097
"Hip Hop Kids - O meu chapeu tem tres bicos",119.95,0.011969,1148.27,1.2927
"Hip Hop Kids - O balão do João",84.90,0.048476,1187.80,1.7624
"Hip Hop Kids - Eu vi um sapo",96.91,0.007756,1123.49,1.4169
"Hip Hop Kids - Sebastião come tudo",86.58,0.019656,1091.90,1.2108
"Hip Hop Kids - Papagaio louro",104.89,0.036262,877.03,1.4392
"Workout Music 2023 - Edm Dance Workout (Workout Music Mix)",137.36,0.020941,1746.46,1.2809
"New Years Dance Party Dj - EDM, Dance, Electro House",130.78,0.038222,1919.01,1.2336
"ESG - Dance",138.90,0.020963,1935.65,1.5429
"MC Pelé - Ela Dança, Eu Danço",128.84,0.024587,1742.67,1.4505
"Vanessa Wagner - Elf Dance",117.20,0.004191,633.00,0.9326
"Crazy Design - Ewa Dance",139.14,0.086657,2012.55,1.5016
"Hard EDM Workout - Rhythm Is A Dancer (Workout Remix 140 bpm)",140.02,0.075175,2320.91,1.0235
