name,tempo,energy,centroid
"Hidden Tunes - Pop Hits 2026 Playlist Hyperparty vibes",120.19,0.087215,3021.53
"Relaxing Summer Piano Collection - Interesting Sounds",112.35,0.113574,2014.05
"Pop Hits 2015 - House Every Weekend",123.05,0.317348,3250.12
"Pop Hits 2015 - I Know You",129.20,0.088127,2154.07
"Pop Hits 2015 - Want to Want Me",114.84,0.240905,3218.93
"Pop Hits 2015 - Can't Stop Playing (Makes Me High)",126.05,0.261862,2927.24
"Pop Hits 2015 - Heroes",123.05,0.252393,2511.83
"Pop Hits 2015 - Take Me Away",123.05,0.298264,4375.06
"The Knife - Rock Classics",69.84,0.131318,1265.45
"Rock Classics - The Kids Aren't Alright",99.38,0.151191,3692.76
"Rock Classics - What Went Down",147.66,0.247563,2276.44
"Rock Classics - Paradise City",93.96,0.171500,2978.97
"Rock Classics - 18 and Life",87.59,0.187046,2545.85
"Rock Classics - Any Way You Want It",68.91,0.183963,2931.84
"Blaumeisen - Rock Classics (Medley inkl. I Love Rock'n'Roll, Final Countdown, Centerfold, Skandal im Sperrbezirk) (Live)",101.33,0.206446,3063.55
"Rock Classics - Basket Case",90.67,0.135186,3766.90
"BTS - Hip Hop Phile",143.55,0.310310,3946.76
"Portugal. The Man - Hip Hop Kids",93.96,0.288433,2663.81
"O Bando & Jupy - Flor de Dúvida",112.35,0.199924,2170.99
"Hip Hop Kids - O meu chapeu tem tres bicos",60.09,0.096744,2468.52
"Hip Hop Kids - O balão do João",84.72,0.180558,2846.97
"Hip Hop Kids - Eu vi um sapo",97.51,0.071058,3324.99
"Hip Hop Kids - Sebastião come tudo",89.10,0.126913,2482.57
"Mujo - Hip Hop Is",120.19,0.098200,2010.73
"New Years Dance Party Dj - EDM, Dance, Electro House",132.51,0.156266,4629.31
"Workout Music 2023 - Edm Dance Workout (Workout Music Mix)",78.30,0.132416,4335.98
"ESG - Dance",139.67,0.124270,3885.81
"MC Pelé - Ela Dança, Eu Danço",129.20,0.140890,3233.34
"Hard EDM Workout - Rhythm Is A Dancer (Workout Remix 140 bpm)",139.67,0.252163,4272.67
"Hard EDM Workout - Rhythm Is A Dancer (Workout Mix Edit 150 bpm)",152.00,0.257749,4055.00
"Vanessa Wagner - Elf Dance",83.35,0.057291,573.92
"Hard EDM Workout - Gonna Make You Sweat (Everybody Dance Now) (Workout Remix 140 bpm)",139.67,0.290664,4109.58
"Musicas para Alegrar o Dia - R&B Soul Vibrante para Trabalhar",93.96,0.131439,2369.32
"Musicas para Alegrar o Dia - R&B Soul para Relaxar",93.96,0.131439,2369.32
"R&B Soul Superstars - Wonderful (Made Famous by Aretha Franklin)",90.67,0.179687,3468.19
"R&B Soul Superstars - (You Make Me Feel Like) A Natural Woman (Made Famous by Aretha Franklin)",114.84,0.077207,1888.81
"R&B Soul Superstars - I Say A Little Prayer (Made Famous by Aretha Franklin)",132.51,0.092745,1688.91
"R&B Soul Superstars - Think (Made Famous by Aretha Franklin)",109.96,0.151482,2476.56
"Rapsoul - Erste Liebe",97.51,0.186080,3156.31
"Rapsoul - Eine von Millionen",95.70,0.253461,3204.38
"The Weeknd - K-POP",80.75,0.388529,1907.18
"410 - K-pop",129.20,0.219912,3847.09
"Lacrim - K-Pop",70.79,0.235723,3570.04
"T_y_A - K-POP",99.38,0.181436,1443.48
"Murachov - K-pop",139.67,0.295215,4033.82
"K-Pop - The K-Pop Club",161.50,0.196797,2734.95
"The Weeknd - K-POP (Sped Up)",152.00,0.270766,2511.60
"Blitzers - K-POP",136.00,0.323868,3329.80
"Lowtone Music - Indie Folk",109.96,0.267360,1514.69
"Roybush.band - Indie Folk",79.51,0.222987,1573.27
"OlexandrMusic - Indie Folk",129.20,0.166597,1878.60
"Art Music - Indie Folk Acoustic",120.19,0.106273,2214.07
"Tom Bailey Backing Tracks - Indie Folk Acoustic Guitar Backing Track In A Major / F Minor",129.20,0.299592,1095.12
"DJ Markarian - Indie Walk",129.20,0.214831,3629.32
"Dj F.E.X - Indie Walk",129.20,0.060704,4686.88
"Loboda - Indie Rock (Vogue RUS)",147.66,0.269589,1978.28
"Jazz Standards - Sleepy Time Saxophone",89.10,0.135651,1135.46
"Smooth Jazz & Sexting Soft Jazz Maestro - Jazz Standards",74.90,0.095156,1364.32
"Jazz Standards - Autumn Leaves",172.27,0.108533,3506.47
"Jazz Standards - Bye Bye",152.00,0.094447,1463.72
